Model,Where (x2),Where (x4),Needed Model (x2),Needed Model (x4)
MSRGAN,experiments\005_MSRGAN_x2_LicensePlate,experiments\004_MSRGAN_x4_LicensePlate,experiments\001_MSRResNet_x4_LicensePlate,experiments\002_MSRResNet_x2_LicensePlate
ESRGAN,,,,experiments\502_RRDBNet_PSNR_x4_LicensePlate
RealESRGAN,experiments\008_RealESRGANx2plus_LicensePlate,experiments\009_RealESRGANx4plus_LicensePlate,experiments\006_RealESRNetx2plus_LicensePlate,experiments\007_RealESRNetx4plus_LicensePlate
LDL,,experiments\010_LDL_Real_x4_LicensePlate,experiments\006_RealESRNetx2plus_LicensePlate,experiments\007_RealESRNetx4plus_LicensePlate
ECBSR,experiments\101_train_ECBSR_x2_m4c16_prelu,experiments\102_train_ECBSR_x4_m4c16_prelu
EDSR-M,experiments\201_EDSR_Mx2_LicensePlate_pretrained,experiments\203_EDSR_Mx4_LicensePlate_pretrained
EDSR-L,experiments\204_EDSR_Lx2_LicensePlate_pretrained,experiments\206_EDSR_Lx4_LicensePlate_pretrained,,
RCAN,,experiments\202_RCAN_x4_LicensePlate
RFDN,experiments\701_RFDN_SRx2_LicensePlate,experiments\702_RFDN_SRx4_LicensePlate
IMDN,experiments\801_IMDN_SRx2_LicensePlate,experiments\802_IMDN_SRx4_LicensePlate
LatticeNet,experiments\901_LatticeNet_SRx2_LicensePlate,experiments\902_LatticeNet_SRx4_LicensePlate
RLFN,experiments\711_RLFN_SRx2_LicensePlate,experiments\712_RLFN_SRx4_LicensePlate,,
RLFN-S,experiments\713_RLFN_S_SRx2_LicensePlate,experiments\714_RLFN_S_SRx4_LicensePlate,,
RLFN-NTIRE,experiments\715_RLFN_NTIRE_SRx2_LicensePlate,experiments\716_RLFN_NTIRE_SRx4_LicensePlate,,
LAPAR-A,experiments\721_LAPAR_A_SRx2_LicensePlate,experiments\722_LAPAR_A_SRx4_LicensePlate,,
LAPAR-B,,,,
LAPAR-C,,,,
MADNet,,,,
AWSRN,,,,
AWSRN-M,,,,
AWSRN-SD,,,,
AWSRN-S,,,,
CARN
CARN-M
PAN
SPAN
ShuffleMixer,experiments\905_ShuffleMixer_SRx2_LicensePlate,experiments\905_ShuffleMixer_SRx4_LicensePlate
DDistill-SR,experiments\905_DDistill_SR_SRx2_LicensePlate,experiments\905_DDistill_SR_SRx4_LicensePlate
CFSR
TCSR-B
FALSR-B
FALSR-C
SMSR
SwinIR,experiments\301_SwinIR_SRx2_LicensePlate,experiments\302_SwinIR_SRx4_LicensePlate
SwinIR-Light,experiments\921_SwinIR_Light_SRx2_LicensePlate,experiments\922_SwinIR_Light_SRx4_LicensePlate,,
OmniSR,experiments\911_OmniSR_SRx2_LicensePlate,experiments\912_OmniSR_SRx4_LicensePlate,,
ELAN-Light,experiments\931_ELAN_Light_SRx2_LicensePlate,
DAT-S
DAT-Light
HAT-S
